name,reason
st4w40002restor,power state off
st4w40001restor,power state off
st4w3153,agent not responsive or missing id
st4w10097,agent not responsive or missing id
st4w10046,agent not responsive or missing id
st4w10037,agent not responsive or missing id
st4l10129,agent not responsive or missing id
st4l10062,agent not responsive or missing id
st3w10060,agent not responsive or missing id
st2w3092-test11,power state off
st2w19021,agent not responsive or missing id
st2w19020,agent not responsive or missing id
st2w19019,agent not responsive or missing id
st2w19017,agent not responsive or missing id
st2w19016,agent not responsive or missing id
st2w19015,agent not responsive or missing id
st2w19014,agent not responsive or missing id
st2w19013,agent not responsive or missing id
st2w19012,agent not responsive or missing id
st2w19010,agent not responsive or missing id
st2w19009,agent not responsive or missing id
st2w19008,agent not responsive or missing id
st2w19007,missing or invalid azure vm agent
st2w19006,missing or invalid azure vm agent
st2w19005,missing or invalid azure vm agent
st2w19004,agent not responsive or missing id
st2w19003,agent not responsive or missing id
st2w19002,agent not responsive or missing id
st2l10131,agent not responsive or missing id
st2l10022,agent not responsive or missing id
st1w3332-test,missing or invalid azure vm agent
st1w3330-test,missing or invalid azure vm agent
st1w1604,installation failed - general error
st1w1509,agent not responsive or missing id
st1w10031,agent not responsive or missing id
st1l10032,installation failed - general error
st1l0029,agent not responsive or missing id
citrixond365,power state off
chatbot-temp-vm,agent not responsive or missing id
asr-test-002,power state off
