name,In-HyperCare-scope
st4w10125,no
st2w3092,no
st4w10135,no
st2w10005,no
st4w10007,no
st4w10124,no
st3w10068,no
st3w10066,no
st4w10047,no
st3w10075,no
st3w10069,no
st3w10062,no
st3w10064,no
st3w10065,no
st3w10070,no
st3w10061,no
st4w10046,no
st3w10058,no
st2l55510,no
st4w10038,no
st4w10044,no
st3w10072,no
st4w10037,no
st4w10039,no
st4w10036,no
st3w10074,no
st4w10034,no
st4w10035,no
st4w10042,no
st4w10041,no
st4w10045,no
st3w10071,no
st4w10043,no
st3w10067,no
st3w10060,no
st3w10063,no
st2w3575,yes
st2w19013,no
st1w10060,no
st1w10059,no
st1w10031,no
st1w10077,no
st1w10090,no
st1w10091,no
st1w10006,no
st1w10089,no
st1w10138,no
st1w10024,no
st1l10080,no
st1w2744-migrated,yes
st1w2733,yes
st4w10048,no
st1w3349,yes
st1w10078,no
st1w10056,no
st1w10137,no
st1w2732,yes
st1w10160,no
st1w10023,no
st1w10054,no
st1w3434,yes
st4w3153,no
st1w10088,no
st1w10079,no
st1w10082,no
st1w10121,no
st1w10093,no
st1w10146,no
st1w10057,no
st1l10032,no
st1w10076,no
asr-test-002,no
st1l0029,no
st1w3054,yes
st1w1509,yes
st1l10085,no
st1w10139,no
st1w1604,no
st1w10200,no
st1w10081,no
st1w2734,yes
st2w3330,no
st1w0826,yes
st1w10087,no
st1w10030,no
st1w10147,no
st1w10061,no
st2w3332,no
st2w3331,no
st1w10055,no
st3w10073,no
st1w3436,yes
st4w10049,no
st1w3564,no
st1w3330-test,no
st1w10092,no
st1w3332-test,no
st1w10145,no
st2w3350,yes
st2w10147,no
st2w10115,no
st4w40002restor,no
st2w3360,yes
st2w19012,no
st2w19002,no
st4w10017,no
st2w19009,no
st2w3044,yes
st2w40001,no
st4w10018,no
st4l10156,no
st4w3338,no
st2w3562,yes
st4w10016,no
st2w19019,no
st4w10012,no
st3w3152,yes
st3w10117,no
st2w3511,no
st2w3357,yes
saphanapoc,no
st4w10056,no
st2w10056,no
st2w3573,yes
st4w10014,no
st2w3587,yes
st3w10083,yes
st2l10084,no
st2w3538,yes
weuwin001,no
st2w3107,no
st4w10011-rest,no
st4w10155,no
st4w3158,yes
st2w19007,no
st2l10022,no
st4w30003,no
lvdcg01,no
st3w10144,no
st4l10157,no
st4w3054,yes
st4w10151,no
st4w10028,no
st2w19020,no
st2w3585,yes
st3w10025,no
st2w3560,yes
st2w10086,no
st3w10059,no
st4w10033,no
st4w10040,no
st4w10109,no
st4w10104,no
st4w10110,no
st4w10112,no
st4w10101,no
st4w10154,no
st4w10111,no
st4w10097,no
st4l10096,no
st4w10095,no
st4w10099,no
st4w10098,no
st4w10100,no
st4w10103,no
st4w10105,no
st4w10107,no
st4w10106,no
st4w10102,no
st4w10094,no
st1w10058,no
lvsb4w01,no
vmcputest,no
st4w3308,no
st2l10004,no
st3l10142,no
st2w10083,no
st2w19006,no
st4w40003,no
st1w1637,no
st4w30002,no
st4w20050,no
st4w3350,yes
st4w10120,no
st2w19014,no
st3l10141,no
st4w10019,no
st4w10004,no
st4l10119,no
st2w3583,yes
st2w3582,yes
st2w3359,no
st3l10140,no
st4w3092,no
st2w3566,yes
st2w19003,no
st4w10015,no
st3w10052,no
st4w10010,no
st2w3043,yes
st2w3105,yes
st4l10062,no
st2w19017,no
st2w19011,no
st4w10013,no
st2w3356,yes
st2w3572,yes
lvdcag01,no
st2w19005,no
st2l10131,no
st2w10143,no
st2w10053,no
st4w3438,yes
st2w10146,no
st4w3307m-test,no
st4w3044,yes
st2w10020,no
st2w3054,yes
st4w10011,no
st4w10152,no
st2w19004,no
st2w3561,yes
st3w10150,no
st3l10083,no
st4w10057,no
st2w10132,no
st3w10126,no
st2w3108,no
st3w10118,no
st2w3010,no
st2w10051,no
st2w10021,no
st3w10116,no
st2w3574,yes
mikesdc,no
st3w10128,no
testcmpqa,no
st4w30001,no
st3w20053,no
st2l3040,no
citrixond365,no
st4w10159,no
st3w3438,yes
st3w10026,no
st3w3350,yes
st4w3349,yes
chatbot-temp-vm,no
st2w3362,yes
st4w10008,no
st4w40001restor,no
st2w3092-test11,no
st2w19010,no
st2w3564,yes
st2w19016,no
st4w10130,no
st3w10127,no
st4w10136,no
st2w3361,yes
st2l40003,no
st3w3054,yes
st2w19015,no
st2w3563,yes
st4w3334,no
st4l10129,no
st4w10134,no
lvdcid01,no
st4w10050,no
st2w19021,no
st2w19008,no
st2w3584,yes
st2w3349,yes
st2w3510,no
linvmpoc,no
st2w19018,no
qazwxx01,no
test01,no
qazwsx02,no
